Datei;;time;Delta_y;z;
NaCl00001_00.dat;;0;180.6245947;25.10681866;0.001586414
NaCl00002.dat;;60;147.7368261;20.53541883;0.002371335
NaCl00003.dat;;120;130.518419;18.14206024;0.003038273
NaCl00004.dat;;180;120.4434827;16.7416441;0.003567827
NaCl00005.dat;;240;110.5652003;15.36856285;0.004233831
NaCl00006.dat;;300;104.4336362;14.51627544;0.004745583
NaCl00007.dat;;360;97.82752575;13.59802608;0.005408144
NaCl00008.dat;;420;93.84385457;13.04429578;0.005877041
NaCl00009.dat;;480;92.25998789;12.82413832;0.00608056
NaCl00010.dat;;540;88.56958078;12.31117173;0.006597832
NaCl00011.dat;;600;83.97914617;11.67310132;0.007338841
NaCl00012.dat;;660;82.05908476;11.40621278;0.007686295
NaCl00013.dat;;720;78.91577154;10.96929224;0.008310799
NaCl00014.dat;;780;76.18651185;10.58992515;0.008916907
