Datei;Delta_y
znso4_ (1).dat;262.6979580639173
znso4_ (10).dat;428.87945879387337
znso4_ (11).dat;438.306113903933
znso4_ (12).dat;416.07177495920564
znso4_ (13).dat;464.4842220325452
znso4_ (14).dat;460.6664367879571
znso4_ (15).dat;458.97577049193774
znso4_ (16).dat;469.94510943320313
znso4_ (17).dat;463.59519263720983
znso4_ (18).dat;446.63954875402135
znso4_ (19).dat;446.32210198262464
znso4_ (2).dat;255.81251161197963
znso4_ (20).dat;420.6899683060012
znso4_ (21).dat;413.1437116277899
znso4_ (22).dat;407.49442247132527
znso4_ (23).dat;398.9834956673276
znso4_ (24).dat;381.3651919252567
znso4_ (25).dat;370.0730524241385
znso4_ (26).dat;361.58746404218334
znso4_ (27).dat;345.60137762609486
znso4_ (28).dat;334.48514307449943
znso4_ (29).dat;323.18641705903633
znso4_ (3).dat;252.31806995383283
znso4_ (30).dat;312.7687345178175
znso4_ (31).dat;302.85853399408165
znso4_ (32).dat;292.1175418555449
znso4_ (33).dat;283.4248113574246
znso4_ (34).dat;284.1040208524063
znso4_ (35).dat;277.02112823978496
znso4_ (36).dat;272.4735918279679
znso4_ (37).dat;267.47677248039065
znso4_ (38).dat;229.07398143964838
znso4_ (4).dat;249.45202810505873
znso4_ (5).dat;245.31433524855254
znso4_ (6).dat;239.13580951545032
znso4_ (7).dat;233.17821699944648
znso4_ (8).dat;233.42125864288573
znso4_ (9).dat;402.7825538994841
